127.0.0.1 - - [06/Sep/2023:14:21:35 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/Sep/2023:14:21:37 +0530] "GET /Project_4/ HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [06/Sep/2023:14:21:39 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1412
0:0:0:0:0:0:0:1 - - [06/Sep/2023:14:21:43 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3032
0:0:0:0:0:0:0:1 - - [06/Sep/2023:14:21:56 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:14:21:56 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3082
0:0:0:0:0:0:0:1 - - [06/Sep/2023:14:22:01 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10574
0:0:0:0:0:0:0:1 - - [06/Sep/2023:14:22:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Sep/2023:14:35:54 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 4055
0:0:0:0:0:0:0:1 - - [06/Sep/2023:14:35:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Sep/2023:14:36:59 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 10574
0:0:0:0:0:0:0:1 - - [06/Sep/2023:14:36:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Sep/2023:14:37:13 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 4055
0:0:0:0:0:0:0:1 - - [06/Sep/2023:14:37:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Sep/2023:14:41:27 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 10574
