127.0.0.1 - - [27/Sep/2023:14:49:22 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:49:24 +0530] "GET /Project_4/servlet/in.co.pro4.controller.UserListCtl HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:49:31 +0530] "GET /Project_4/servlet/in.co.pro4.controller.UserListCtl HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:49:36 +0530] "GET /Project_4/servlet HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:49:41 +0530] "GET /Project_4/ HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:49:44 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1412
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:49:46 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3032
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:49:59 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:49:59 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3082
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:50:12 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10574
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:50:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:53:11 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:53:11 +0530] "GET /Project_4/ctl/UserCtl HTTP/1.1" 200 7820
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:53:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:55:08 +0530] "GET /Project_4/ctl/UserCtl?id=4 HTTP/1.1" 200 7981
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:55:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:56:09 +0530] "POST /Project_4/ctl/UserCtl HTTP/1.1" 200 7820
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:56:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:57:22 +0530] "GET /Project_4/doc/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:57:22 +0530] "GET /Project_4/doc/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:57:22 +0530] "GET /Project_4/doc/jquery/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:57:22 +0530] "GET /Project_4/doc/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:57:22 +0530] "GET /Project_4/doc/jquery/jszip-utils/dist/jszip-utils.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:57:22 +0530] "GET /Project_4/doc/jquery/jquery-3.5.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:57:22 +0530] "GET /Project_4/doc/jquery/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:57:22 +0530] "GET /Project_4/doc/jquery/jszip/dist/jszip.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:57:22 +0530] "GET /Project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:57:22 +0530] "GET /Project_4/doc/jquery/jszip-utils/dist/jszip-utils.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:57:22 +0530] "GET /Project_4/doc/tag-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:57:22 +0530] "GET /Project_4/doc/search.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:57:22 +0530] "GET /Project_4/doc/package-search-index.zip HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:57:22 +0530] "GET /Project_4/doc/module-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:57:22 +0530] "GET /Project_4/doc/jquery/jszip/dist/jszip.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:57:22 +0530] "GET /Project_4/doc/resources/glass.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:57:22 +0530] "GET /Project_4/doc/member-search-index.zip HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:57:22 +0530] "GET /Project_4/doc/type-search-index.zip HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:57:22 +0530] "GET /Project_4/doc/resources/x.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:57:22 +0530] "GET /Project_4/doc/module-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:57:22 +0530] "GET /Project_4/doc/package-search-index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:57:22 +0530] "GET /Project_4/doc/member-search-index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:57:22 +0530] "GET /Project_4/doc/tag-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:57:22 +0530] "GET /Project_4/doc/type-search-index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:58:55 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 4055
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:58:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:59:57 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10574
0:0:0:0:0:0:0:1 - - [27/Sep/2023:15:00:25 +0530] "GET /Project_4/LoginCtl?operation=logout HTTP/1.1" 200 3055
0:0:0:0:0:0:0:1 - - [27/Sep/2023:15:00:30 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 3108
0:0:0:0:0:0:0:1 - - [27/Sep/2023:15:01:39 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3032
0:0:0:0:0:0:0:1 - - [27/Sep/2023:15:07:00 +0530] "GET /Project_4/ForgetPasswordCtl HTTP/1.1" 200 2541
0:0:0:0:0:0:0:1 - - [27/Sep/2023:15:12:43 +0530] "GET /Project_4/LoginCtl?operation=logout HTTP/1.1" 200 3055
0:0:0:0:0:0:0:1 - - [27/Sep/2023:15:12:48 +0530] "GET /Project_4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:15:12:48 +0530] "GET /Project_4/ HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [27/Sep/2023:15:12:50 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1412
0:0:0:0:0:0:0:1 - - [27/Sep/2023:15:12:54 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3032
0:0:0:0:0:0:0:1 - - [27/Sep/2023:15:13:05 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:15:13:05 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3082
