127.0.0.1 - - [12/Sep/2023:22:47:16 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:47:18 +0530] "GET /Project_4/servlet/in.co.pro4.controller.LoginCtl HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:47:30 +0530] "GET /Project_4/servlet/in.co.pro4.controller.LoginCtl HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:47:35 +0530] "GET /Project_4/servlet/ HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:47:40 +0530] "GET /Project_4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:47:40 +0530] "GET /Project_4/ HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:47:42 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1412
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:47:44 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3032
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:49:16 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 200 3072
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:54:15 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:54:17 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:54:18 +0530] "GET /Project_4/UserRegistrationCtl HTTP/1.1" 200 6373
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:54:18 +0530] "GET /Project_4/UserRegistrationCtl HTTP/1.1" 200 6373
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:54:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:54:18 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [12/Sep/2023:23:04:00 +0530] "POST /Project_4/UserRegistrationCtl HTTP/1.1" 200 6572
0:0:0:0:0:0:0:1 - - [12/Sep/2023:23:04:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Sep/2023:23:04:00 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [12/Sep/2023:23:11:56 +0530] "POST /Project_4/UserRegistrationCtl HTTP/1.1" 200 6513
0:0:0:0:0:0:0:1 - - [12/Sep/2023:23:11:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Sep/2023:23:11:56 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [12/Sep/2023:23:17:28 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3032
0:0:0:0:0:0:0:1 - - [12/Sep/2023:23:17:43 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Sep/2023:23:17:43 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3082
0:0:0:0:0:0:0:1 - - [12/Sep/2023:23:29:53 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10574
0:0:0:0:0:0:0:1 - - [12/Sep/2023:23:29:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Sep/2023:23:30:00 +0530] "GET /Project_4/ctl/CourseListCtl HTTP/1.1" 200 8341
0:0:0:0:0:0:0:1 - - [12/Sep/2023:23:30:01 +0530] "GET /Project_4/ctl/CourseListCtl HTTP/1.1" 200 8341
0:0:0:0:0:0:0:1 - - [12/Sep/2023:23:30:06 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10574
0:0:0:0:0:0:0:1 - - [12/Sep/2023:23:30:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Sep/2023:23:35:57 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10574
0:0:0:0:0:0:0:1 - - [12/Sep/2023:23:35:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Sep/2023:23:36:12 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Sep/2023:23:36:12 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10574
0:0:0:0:0:0:0:1 - - [12/Sep/2023:23:36:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Sep/2023:23:36:13 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Sep/2023:23:36:13 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10574
0:0:0:0:0:0:0:1 - - [12/Sep/2023:23:36:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
